Order ID,Order Date,Region,Segment,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-00022,2021-01-17 01:37:58.139069534,East,Corporate,Furniture,Furnishings,540.05,7,0.15,156.49
ORD-00023,2021-01-17 19:09:41.690845422,Central,Consumer,Furniture,Tables,125.15,8,0.0,3.97
ORD-00024,2021-01-18 12:41:25.242621310,South,Consumer,Technology,Accessories,9.69,2,0.15,53.39
ORD-00025,2021-01-19 06:13:08.794397198,West,Corporate,Technology,Accessories,1923.6,9,0.3,46.72
ORD-00026,2021-01-19 23:44:52.346173086,East,Corporate,Technology,Phones,658.31,7,0.2,-189.47
ORD-00027,2021-01-20 17:16:35.897948974,Central,Corporate,Office Supplies,Paper,97.63,13,0.0,-31.15
ORD-00028,2021-01-21 10:48:19.449724862,Central,Corporate,Office Supplies,Binders,54.0,8,0.15,95.39
ORD-00029,2021-01-22 04:20:03.001500750,South,Consumer,Office Supplies,Art,240.77,6,0.0,45.14
ORD-00030,2021-01-22 21:51:46.553276638,South,Consumer,Furniture,Bookcases,189.2,6,0.1,96.18
ORD-00031,2021-01-23 15:23:30.105052526,South,Home Office,Office Supplies,Paper,284.44,9,0.2,128.38
ORD-00032,2021-01-24 08:55:13.656828414,East,Corporate,Furniture,Bookcases,54.19,4,0.15,-32.32
ORD-00033,2021-01-25 02:26:57.208604302,East,Home Office,Furniture,Furnishings,554.09,11,0.0,-1.52
ORD-00034,2021-01-25 19:58:40.760380190,South,Consumer,Office Supplies,Paper,84.09,11,0.1,35.88
ORD-00035,2021-01-26 13:30:24.312156078,West,Consumer,Furniture,Tables,335.94,5,0.3,127.35
ORD-00036,2021-01-27 07:02:07.863931966,Central,Home Office,Office Supplies,Paper,57.04,9,0.0,26.59
ORD-00037,2021-01-28 00:33:51.415707854,Central,Corporate,Office Supplies,Art,3560.91,1,0.1,-128.11
ORD-00038,2021-01-28 18:05:34.967483742,East,Corporate,Technology,Computers,341.94,4,0.3,30.18
ORD-00039,2021-01-29 11:37:18.519259630,Central,Corporate,Office Supplies,Paper,4727.15,7,0.3,123.33
ORD-00040,2021-01-30 05:09:02.071035518,West,Corporate,Technology,Copiers,400.66,11,0.2,185.7
ORD-00041,2021-01-30 22:40:45.622811406,Central,Home Office,Office Supplies,Envelopes,75.66,9,0.0,78.06
ORD-00042,2021-01-31 16:12:29.174587293,East,Home Office,Office Supplies,Paper,401.52,13,0.15,-98.6
ORD-00043,2021-02-01 09:44:12.726363181,East,Consumer,Technology,Copiers,437.33,11,0.15,9.36
ORD-00044,2021-02-02 03:15:56.278139069,West,Corporate,Technology,Copiers,232.29,12,0.0,97.51
ORD-00045,2021-02-02 20:47:39.829914957,West,Corporate,Office Supplies,Envelopes,316.23,13,0.1,136.62
ORD-00046,2021-02-03 14:19:23.381690845,Central,Corporate,Furniture,Tables,370.21,10,0.0,100.71
ORD-00047,2021-02-04 07:51:06.933466733,Central,Home Office,Technology,Copiers,45.04,6,0.0,24.84
ORD-00048,2021-02-05 01:22:50.485242621,East,Corporate,Furniture,Furnishings,41.35,12,0.15,135.85
ORD-00049,2021-02-05 18:54:34.037018509,West,Home Office,Furniture,Furnishings,57.22,8,0.1,-14.06
ORD-00050,2021-02-06 12:26:17.588794397,West,Corporate,Furniture,Tables,172.96,13,0.2,68.46
ORD-00051,2021-02-07 05:58:01.140570285,West,Corporate,Technology,Phones,113.54,9,0.0,124.98
ORD-00052,2021-02-07 23:29:44.692346173,Central,Consumer,Furniture,Bookcases,46.03,10,0.2,107.66
ORD-00053,2021-02-08 17:01:28.244122061,West,Corporate,Technology,Copiers,376.3,4,0.2,109.91
ORD-00054,2021-02-09 10:33:11.795897949,East,Corporate,Furniture,Chairs,208.44,1,0.2,107.39
ORD-00055,2021-02-10 04:04:55.347673837,East,Consumer,Office Supplies,Envelopes,181.77,8,0.0,-54.87
ORD-00056,2021-02-10 21:36:38.899449725,Central,Home Office,Office Supplies,Binders,108.9,2,0.0,51.76
ORD-00057,2021-02-11 15:08:22.451225613,South,Home Office,Technology,Phones,94.27,11,0.3,-40.92
ORD-00058,2021-02-12 08:40:06.003001501,Central,Corporate,Office Supplies,Binders,54.08,1,0.3,21.05
ORD-00059,2021-02-13 02:11:49.554777389,South,Home Office,Office Supplies,Envelopes,455.09,13,0.0,-66.88
ORD-00060,2021-02-13 19:43:33.106553276,West,Corporate,Furniture,Furnishings,63.8,7,0.3,84.5
ORD-00061,2021-02-14 13:15:16.658329164,Central,Consumer,Technology,Computers,190.81,12,0.0,-146.52
ORD-00062,2021-02-15 06:47:00.210105052,East,Consumer,Furniture,Bookcases,1090.52,10,0.3,111.73
ORD-00063,2021-02-16 00:18:43.761880940,West,Corporate,Furniture,Tables,99.61,9,0.15,51.53
ORD-00064,2021-02-16 17:50:27.313656828,East,Consumer,Furniture,Furnishings,470.05,11,0.0,240.22
ORD-00065,2021-02-17 11:22:10.865432716,West,Consumer,Furniture,Tables,293.67,12,0.3,29.54
ORD-00066,2021-02-18 04:53:54.417208604,Central,Corporate,Furniture,Bookcases,215.67,12,0.0,29.51
ORD-00067,2021-02-18 22:25:37.968984492,South,Corporate,Furniture,Tables,248.74,9,0.0,118.25
ORD-00068,2021-02-19 15:57:21.520760380,West,Consumer,Furniture,Bookcases,132.44,3,0.0,35.35
ORD-00069,2021-02-20 09:29:05.072536268,South,Home Office,Technology,Accessories,154.74,6,0.0,77.48
ORD-00070,2021-02-21 03:00:48.624312156,West,Home Office,Office Supplies,Binders,76.88,7,0.15,149.44
ORD-00071,2021-02-21 20:32:32.176088044,East,Corporate,Furniture,Tables,155.98,10,0.3,23.25
ORD-00072,2021-02-22 14:04:15.727863932,East,Corporate,Furniture,Chairs,73.53,9,0.15,169.53
ORD-00073,2021-02-23 07:35:59.279639820,West,Home Office,Furniture,Furnishings,496.1,2,0.3,-117.91
ORD-00074,2021-02-24 01:07:42.831415708,South,Consumer,Furniture,Bookcases,19.31,8,0.0,210.35
ORD-00075,2021-02-24 18:39:26.383191596,Central,Home Office,Furniture,Chairs,264.35,7,0.2,-128.82
ORD-00076,2021-02-25 12:11:09.934967484,Central,Home Office,Furniture,Tables,222.27,4,0.3,185.22
ORD-00077,2021-02-26 05:42:53.486743372,East,Home Office,Office Supplies,Envelopes,199.38,2,0.2,-136.65
ORD-00078,2021-02-26 23:14:37.038519260,Central,Home Office,Office Supplies,Paper,507.45,8,0.0,248.06
ORD-00079,2021-02-27 16:46:20.590295148,East,Corporate,Furniture,Bookcases,105.28,11,0.15,66.09
ORD-00080,2021-02-28 10:18:04.142071036,Central,Corporate,Office Supplies,Paper,201.65,5,0.2,-44.49
ORD-00081,2021-03-01 03:49:47.693846924,West,Consumer,Technology,Accessories,18.92,6,0.15,236.51
ORD-00082,2021-03-01 21:21:31.245622812,East,Consumer,Furniture,Tables,90.16,11,0.3,-58.89
ORD-00083,2021-03-02 14:53:14.797398699,East,Consumer,Technology,Copiers,414.42,7,0.3,27.26
ORD-00084,2021-03-03 08:24:58.349174587,West,Consumer,Technology,Copiers,29.76,10,0.0,310.47
ORD-00085,2021-03-04 01:56:41.900950475,East,Home Office,Furniture,Furnishings,179.77,1,0.3,89.55
ORD-00086,2021-03-04 19:28:25.452726363,Central,Corporate,Office Supplies,Binders,65.82,8,0.0,-152.6
ORD-00087,2021-03-05 13:00:09.004502251,Central,Corporate,Technology,Accessories,129.91,4,0.2,22.67
ORD-00088,2021-03-06 06:31:52.556278139,East,Consumer,Furniture,Tables,70.72,13,0.3,13.82
ORD-00089,2021-03-07 00:03:36.108054027,Central,Consumer,Technology,Copiers,33.23,9,0.0,68.85
ORD-00090,2021-03-07 17:35:19.659829915,South,Home Office,Technology,Computers,235.85,1,0.1,45.56
ORD-00091,2021-03-08 11:07:03.211605803,East,Home Office,Technology,Computers,139.84,11,0.0,104.59
ORD-00092,2021-03-09 04:38:46.763381691,West,Consumer,Technology,Computers,309.56,2,0.1,-102.81
ORD-00093,2021-03-09 22:10:30.315157579,South,Corporate,Office Supplies,Art,385.03,6,0.1,-4.79
ORD-00094,2021-03-10 15:42:13.866933467,East,Corporate,Technology,Phones,645.68,11,0.15,81.18
ORD-00095,2021-03-11 09:13:57.418709355,West,Corporate,Technology,Phones,174.2,10,0.0,-26.21
ORD-00096,2021-03-12 02:45:40.970485243,Central,Consumer,Technology,Computers,680.17,11,0.15,159.59
ORD-00097,2021-03-12 20:17:24.522261131,West,Corporate,Office Supplies,Paper,46.02,1,0.2,-24.21
ORD-00098,2021-03-13 13:49:08.074037019,South,Home Office,Technology,Phones,441.75,4,0.0,64.33
ORD-00099,2021-03-14 07:20:51.625812907,Central,Home Office,Technology,Computers,257.56,8,0.2,39.5
ORD-00100,2021-03-15 00:52:35.177588795,East,Consumer,Office Supplies,Binders,196.31,10,0.0,-51.47
ORD-00101,2021-03-15 18:24:18.729364682,Central,Home Office,Office Supplies,Envelopes,253.07,5,0.0,56.05
ORD-00102,2021-03-16 11:56:02.281140570,East,Consumer,Office Supplies,Paper,46.86,13,0.15,-81.19
ORD-00103,2021-03-17 05:27:45.832916458,East,Corporate,Technology,Accessories,35.3,9,0.3,5.64
ORD-00104,2021-03-17 22:59:29.384692346,West,Corporate,Office Supplies,Binders,1154.93,11,0.3,53.03
ORD-00105,2021-03-18 16:31:12.936468234,West,Corporate,Office Supplies,Envelopes,121.21,11,0.15,-92.73
ORD-00106,2021-03-19 10:02:56.488244122,West,Home Office,Technology,Accessories,119.15,6,0.2,112.35
ORD-00107,2021-03-20 03:34:40.040020010,South,Consumer,Office Supplies,Paper,39.54,1,0.15,76.04
ORD-00108,2021-03-20 21:06:23.591795898,South,Corporate,Technology,Copiers,25.07,6,0.15,103.2
ORD-00109,2021-03-21 14:38:07.143571786,West,Consumer,Furniture,Tables,133.49,6,0.1,50.25
ORD-00110,2021-03-22 08:09:50.695347674,South,Corporate,Office Supplies,Art,98.5,13,0.0,-65.07
ORD-00111,2021-03-23 01:41:34.247123562,Central,Home Office,Furniture,Tables,148.72,6,0.3,49.99
ORD-00112,2021-03-23 19:13:17.798899450,Central,Home Office,Technology,Phones,164.78,8,0.1,112.31
ORD-00113,2021-03-24 12:45:01.350675338,South,Consumer,Office Supplies,Art,2943.5,6,0.15,-69.03
ORD-00114,2021-03-25 06:16:44.902451226,South,Home Office,Technology,Phones,98.86,5,0.0,-61.08
ORD-00115,2021-03-25 23:48:28.454227114,Central,Home Office,Furniture,Chairs,988.24,11,0.1,25.39
ORD-00116,2021-03-26 17:20:12.006003002,East,Consumer,Technology,Copiers,1064.68,2,0.15,12.87
ORD-00117,2021-03-27 10:51:55.557778890,Central,Corporate,Office Supplies,Binders,366.63,4,0.3,48.38
ORD-00118,2021-03-28 04:23:39.109554778,Central,Home Office,Office Supplies,Art,111.93,10,0.15,20.83
ORD-00119,2021-03-28 21:55:22.661330665,South,Consumer,Furniture,Chairs,28.97,5,0.0,66.0
ORD-00120,2021-03-29 15:27:06.213106553,Central,Home Office,Technology,Phones,263.36,10,0.2,172.18
ORD-00121,2021-03-30 08:58:49.764882441,South,Home Office,Office Supplies,Art,504.0,4,0.0,103.84
ORD-00122,2021-03-31 02:30:33.316658329,South,Home Office,Furniture,Chairs,1208.61,2,0.1,55.62
ORD-00123,2021-03-31 20:02:16.868434217,West,Home Office,Office Supplies,Envelopes,47.47,7,0.1,-60.67
ORD-00124,2021-04-01 13:34:00.420210105,Central,Consumer,Office Supplies,Envelopes,110.8,10,0.1,-22.2
ORD-00125,2021-04-02 07:05:43.971985993,East,Consumer,Technology,Copiers,47.82,10,0.15,134.17
ORD-00126,2021-04-03 00:37:27.523761881,West,Consumer,Office Supplies,Envelopes,69.4,2,0.0,3.15
ORD-00127,2021-04-03 18:09:11.075537769,South,Home Office,Technology,Phones,329.4,1,0.15,-46.78
ORD-00128,2021-04-04 11:40:54.627313657,South,Home Office,Office Supplies,Art,65.68,5,0.15,259.8
ORD-00129,2021-04-05 05:12:38.179089545,East,Home Office,Furniture,Bookcases,55.2,12,0.2,202.45
ORD-00130,2021-04-05 22:44:21.730865433,South,Consumer,Office Supplies,Art,386.22,13,0.0,37.55
ORD-00131,2021-04-06 16:16:05.282641321,Central,Home Office,Technology,Accessories,254.9,1,0.0,-58.27
ORD-00132,2021-04-07 09:47:48.834417209,West,Corporate,Technology,Computers,225.88,1,0.1,122.34
ORD-00133,2021-04-08 03:19:32.386193097,South,Home Office,Furniture,Bookcases,67.8,1,0.0,0.99
ORD-00134,2021-04-08 20:51:15.937968985,South,Corporate,Office Supplies,Binders,700.38,6,0.1,138.85
ORD-00135,2021-04-09 14:22:59.489744873,East,Home Office,Office Supplies,Binders,151.02,9,0.15,1.09
ORD-00136,2021-04-10 07:54:43.041520761,Central,Consumer,Furniture,Furnishings,2581.76,10,0.0,214.54
ORD-00137,2021-04-11 01:26:26.593296649,South,Home Office,Office Supplies,Binders,180.08,13,0.3,-1.87
ORD-00138,2021-04-11 18:58:10.145072536,East,Corporate,Office Supplies,Paper,9.02,11,0.0,286.47
ORD-00139,2021-04-12 12:29:53.696848424,South,Corporate,Technology,Computers,8.56,12,0.0,69.51
ORD-00140,2021-04-13 06:01:37.248624312,East,Home Office,Office Supplies,Envelopes,313.8,1,0.0,188.43
ORD-00141,2021-04-13 23:33:20.800400200,East,Corporate,Office Supplies,Binders,706.69,5,0.1,-4.01
ORD-00142,2021-04-14 17:05:04.352176088,Central,Corporate,Furniture,Chairs,57.94,9,0.0,-81.14
ORD-00143,2021-04-15 10:36:47.903951976,South,Consumer,Furniture,Chairs,1846.74,9,0.3,-180.62
ORD-00144,2021-04-16 04:08:31.455727864,Central,Home Office,Technology,Phones,1091.82,1,0.3,177.66
ORD-00145,2021-04-16 21:40:15.007503752,East,Home Office,Office Supplies,Envelopes,191.07,8,0.2,56.8
ORD-00146,2021-04-17 15:11:58.559279640,West,Home Office,Office Supplies,Envelopes,283.54,1,0.0,-74.76
ORD-00147,2021-04-18 08:43:42.111055528,South,Corporate,Office Supplies,Art,434.17,8,0.2,181.82
ORD-00148,2021-04-19 02:15:25.662831416,West,Home Office,Technology,Copiers,1433.67,1,0.15,165.6
ORD-00149,2021-04-19 19:47:09.214607304,South,Home Office,Technology,Phones,336.49,12,0.0,188.24
ORD-00150,2021-04-20 13:18:52.766383192,Central,Consumer,Furniture,Chairs,185.96,5,0.0,-83.98
ORD-00151,2021-04-21 06:50:36.318159080,Central,Consumer,Technology,Copiers,332.54,8,0.2,174.64
ORD-00152,2021-04-22 00:22:19.869934968,Central,Consumer,Office Supplies,Binders,282.83,6,0.15,88.4
ORD-00153,2021-04-22 17:54:03.421710856,Central,Corporate,Office Supplies,Envelopes,450.02,9,0.0,192.76
ORD-00154,2021-04-23 11:25:46.973486744,Central,Home Office,Technology,Copiers,22.56,1,0.15,104.27
ORD-00155,2021-04-24 04:57:30.525262632,West,Consumer,Office Supplies,Paper,216.81,9,0.1,67.3
ORD-00156,2021-04-24 22:29:14.077038520,Central,Consumer,Office Supplies,Art,257.89,1,0.2,176.0
ORD-00157,2021-04-25 16:00:57.628814408,East,Consumer,Technology,Phones,135.99,10,0.15,135.19
ORD-00158,2021-04-26 09:32:41.180590296,East,Home Office,Technology,Accessories,380.31,10,0.0,158.18
ORD-00159,2021-04-27 03:04:24.732366184,West,Home Office,Office Supplies,Paper,1488.32,3,0.15,1.2
ORD-00160,2021-04-27 20:36:08.284142072,South,Home Office,Office Supplies,Envelopes,175.19,1,0.0,32.76
ORD-00161,2021-04-28 14:07:51.835917960,East,Corporate,Office Supplies,Paper,340.38,3,0.0,-123.38
ORD-00162,2021-04-29 07:39:35.387693848,South,Corporate,Furniture,Chairs,1019.96,12,0.0,-6.01
ORD-00163,2021-04-30 01:11:18.939469736,West,Consumer,Furniture,Chairs,180.17,11,0.3,129.04
ORD-00164,2021-04-30 18:43:02.491245624,South,Home Office,Furniture,Furnishings,51.1,13,0.0,106.42
ORD-00165,2021-05-01 12:14:46.043021510,South,Consumer,Technology,Copiers,310.73,2,0.3,-47.95
ORD-00166,2021-05-02 05:46:29.594797398,South,Home Office,Furniture,Furnishings,10.57,2,0.15,178.23
ORD-00167,2021-05-02 23:18:13.146573286,South,Home Office,Technology,Copiers,9.41,9,0.1,347.31
ORD-00168,2021-05-03 16:49:56.698349174,West,Home Office,Technology,Accessories,221.32,8,0.15,-40.27
ORD-00169,2021-05-04 10:21:40.250125062,East,Corporate,Furniture,Bookcases,8.9,1,0.0,29.41
ORD-00170,2021-05-05 03:53:23.801900950,Central,Corporate,Furniture,Tables,30.62,12,0.15,-12.16
ORD-00171,2021-05-05 21:25:07.353676838,South,Home Office,Furniture,Furnishings,94.06,4,0.0,40.51
ORD-00172,2021-05-06 14:56:50.905452726,East,Consumer,Office Supplies,Art,62.45,13,0.0,77.39
ORD-00173,2021-05-07 08:28:34.457228614,East,Home Office,Furniture,Chairs,124.29,1,0.1,-19.73
ORD-00174,2021-05-08 02:00:18.009004502,West,Home Office,Office Supplies,Envelopes,564.22,1,0.3,22.31
ORD-00175,2021-05-08 19:32:01.560780390,East,Consumer,Technology,Computers,197.59,12,0.15,58.72
ORD-00176,2021-05-09 13:03:45.112556278,West,Home Office,Office Supplies,Binders,54.21,12,0.15,97.16
ORD-00177,2021-05-10 06:35:28.664332166,South,Consumer,Furniture,Tables,753.95,4,0.0,196.65
ORD-00178,2021-05-11 00:07:12.216108054,South,Corporate,Technology,Phones,26.72,2,0.1,48.55
ORD-00179,2021-05-11 17:38:55.767883942,Central,Corporate,Technology,Accessories,193.69,3,0.2,-6.18
ORD-00180,2021-05-12 11:10:39.319659830,Central,Consumer,Technology,Phones,23.38,11,0.3,119.63
ORD-00181,2021-05-13 04:42:22.871435718,Central,Corporate,Office Supplies,Envelopes,200.89,9,0.15,90.02
ORD-00182,2021-05-13 22:14:06.423211606,East,Corporate,Furniture,Tables,101.26,2,0.15,30.72
ORD-00183,2021-05-14 15:45:49.974987494,South,Consumer,Technology,Phones,543.86,4,0.2,98.5
ORD-00184,2021-05-15 09:17:33.526763382,West,Corporate,Technology,Phones,352.42,1,0.3,11.69
ORD-00185,2021-05-16 02:49:17.078539270,Central,Home Office,Technology,Accessories,73.36,2,0.0,-3.04
ORD-00186,2021-05-16 20:21:00.630315158,West,Home Office,Office Supplies,Art,58.28,5,0.0,-139.93
ORD-00187,2021-05-17 13:52:44.182091046,West,Consumer,Office Supplies,Binders,101.69,10,0.0,17.21
ORD-00188,2021-05-18 07:24:27.733866934,Central,Corporate,Furniture,Chairs,1409.07,1,0.0,-126.25
ORD-00189,2021-05-19 00:56:11.285642822,South,Home Office,Office Supplies,Paper,1035.75,11,0.1,-13.94
ORD-00190,2021-05-19 18:27:54.837418710,Central,Home Office,Technology,Accessories,46.44,7,0.15,107.95
ORD-00191,2021-05-20 11:59:38.389194598,West,Corporate,Furniture,Chairs,387.71,4,0.3,-100.52
ORD-00192,2021-05-21 05:31:21.940970486,Central,Corporate,Technology,Phones,18.58,6,0.15,31.02
ORD-00193,2021-05-21 23:03:05.492746374,West,Home Office,Technology,Phones,86.76,8,0.0,56.55
ORD-00194,2021-05-22 16:34:49.044522262,West,Home Office,Office Supplies,Art,48.76,13,0.3,26.14
ORD-00195,2021-05-23 10:06:32.596298150,Central,Consumer,Furniture,Tables,535.46,6,0.3,1.87
ORD-00196,2021-05-24 03:38:16.148074038,East,Consumer,Office Supplies,Envelopes,31.54,2,0.15,82.54
ORD-00197,2021-05-24 21:09:59.699849926,Central,Home Office,Office Supplies,Binders,248.44,1,0.0,96.41
ORD-00198,2021-05-25 14:41:43.251625814,East,Consumer,Furniture,Furnishings,148.54,8,0.0,50.15
ORD-00199,2021-05-26 08:13:26.803401702,West,Home Office,Technology,Phones,120.24,8,0.0,7.42
ORD-00200,2021-05-27 01:45:10.355177590,West,Home Office,Technology,Computers,1103.12,9,0.0,136.47
ORD-00201,2021-05-27 19:16:53.906953478,East,Consumer,Furniture,Furnishings,1226.15,6,0.15,-81.07
ORD-00202,2021-05-28 12:48:37.458729364,West,Consumer,Technology,Accessories,124.8,12,0.0,118.74
ORD-00203,2021-05-29 06:20:21.010505252,East,Corporate,Furniture,Bookcases,97.99,1,0.0,91.97
ORD-00204,2021-05-29 23:52:04.562281140,East,Corporate,Furniture,Tables,24.33,9,0.3,69.9
ORD-00205,2021-05-30 17:23:48.114057028,West,Corporate,Office Supplies,Binders,147.66,12,0.1,49.01
ORD-00206,2021-05-31 10:55:31.665832916,South,Home Office,Furniture,Chairs,1546.83,13,0.15,-139.0
ORD-00207,2021-06-01 04:27:15.217608804,East,Consumer,Office Supplies,Binders,127.17,3,0.2,188.74
ORD-00208,2021-06-01 21:58:58.769384692,Central,Home Office,Technology,Phones,355.85,11,0.1,133.87
ORD-00209,2021-06-02 15:30:42.321160580,Central,Consumer,Technology,Phones,27.74,6,0.15,-46.14
ORD-00210,2021-06-03 09:02:25.872936468,West,Home Office,Technology,Accessories,88.08,10,0.1,125.88
ORD-00211,2021-06-04 02:34:09.424712356,South,Corporate,Technology,Accessories,258.52,13,0.0,68.88
ORD-00212,2021-06-04 20:05:52.976488244,West,Corporate,Office Supplies,Envelopes,168.52,10,0.1,-8.3
ORD-00213,2021-06-05 13:37:36.528264132,South,Corporate,Technology,Accessories,399.26,11,0.0,169.18
ORD-00214,2021-06-06 07:09:20.080040020,East,Home Office,Furniture,Bookcases,72.01,12,0.1,6.92
ORD-00215,2021-06-07 00:41:03.631815908,East,Consumer,Furniture,Tables,18.17,9,0.15,185.61
ORD-00216,2021-06-07 18:12:47.183591796,East,Consumer,Furniture,Bookcases,570.5,11,0.2,103.43
ORD-00217,2021-06-08 11:44:30.735367684,East,Corporate,Office Supplies,Envelopes,48.26,13,0.2,145.66
ORD-00218,2021-06-09 05:16:14.287143572,Central,Corporate,Technology,Computers,272.58,3,0.0,107.91
ORD-00219,2021-06-09 22:47:57.838919460,Central,Corporate,Technology,Copiers,254.94,5,0.3,103.27
ORD-00220,2021-06-10 16:19:41.390695348,West,Corporate,Technology,Accessories,20.16,13,0.1,71.52
ORD-00221,2021-06-11 09:51:24.942471236,South,Consumer,Office Supplies,Envelopes,522.67,5,0.2,-22.68
ORD-00222,2021-06-12 03:23:08.494247124,East,Home Office,Furniture,Tables,75.2,10,0.1,56.25
ORD-00223,2021-06-12 20:54:52.046023012,East,Home Office,Furniture,Chairs,158.55,7,0.3,141.64
ORD-00224,2021-06-13 14:26:35.597798900,South,Home Office,Technology,Copiers,96.56,4,0.2,121.93
ORD-00225,2021-06-14 07:58:19.149574788,South,Home Office,Furniture,Furnishings,1040.14,11,0.3,100.13
ORD-00226,2021-06-15 01:30:02.701350676,West,Corporate,Furniture,Tables,744.11,4,0.1,-159.58
ORD-00227,2021-06-15 19:01:46.253126564,South,Corporate,Office Supplies,Binders,16.86,7,0.15,28.68
ORD-00228,2021-06-16 12:33:29.804902452,East,Corporate,Office Supplies,Envelopes,2231.86,9,0.1,18.17
ORD-00229,2021-06-17 06:05:13.356678340,East,Home Office,Office Supplies,Art,65.76,11,0.3,-60.33
ORD-00230,2021-06-17 23:36:56.908454228,East,Corporate,Office Supplies,Envelopes,1849.97,4,0.15,140.38
ORD-00231,2021-06-18 17:08:40.460230116,East,Corporate,Technology,Computers,109.13,4,0.15,-152.53
ORD-00232,2021-06-19 10:40:24.012006004,East,Consumer,Office Supplies,Paper,98.58,6,0.0,133.66
ORD-00233,2021-06-20 04:12:07.563781892,West,Consumer,Furniture,Chairs,110.3,6,0.2,182.92
ORD-00234,2021-06-20 21:43:51.115557780,East,Corporate,Technology,Accessories,91.75,7,0.0,29.02
ORD-00235,2021-06-21 15:15:34.667333668,West,Consumer,Furniture,Furnishings,3069.52,1,0.15,42.57
ORD-00236,2021-06-22 08:47:18.219109556,East,Consumer,Furniture,Chairs,135.42,13,0.3,146.76
ORD-00237,2021-06-23 02:19:01.770885444,Central,Corporate,Furniture,Furnishings,103.26,11,0.2,-26.37
ORD-00238,2021-06-23 19:50:45.322661330,Central,Corporate,Office Supplies,Binders,162.78,3,0.0,116.08
ORD-00239,2021-06-24 13:22:28.874437218,Central,Corporate,Office Supplies,Paper,46.49,9,0.1,-41.78
ORD-00240,2021-06-25 06:54:12.426213106,Central,Corporate,Technology,Accessories,1008.83,6,0.3,-71.74
ORD-00241,2021-06-26 00:25:55.977988994,West,Home Office,Technology,Computers,25.4,6,0.0,79.6
ORD-00242,2021-06-26 17:57:39.529764882,West,Home Office,Office Supplies,Art,71.04,5,0.3,47.33
ORD-00243,2021-06-27 11:29:23.081540770,South,Corporate,Furniture,Tables,456.68,11,0.1,-122.1
ORD-00244,2021-06-28 05:01:06.633316658,East,Consumer,Technology,Phones,156.15,3,0.0,191.53
ORD-00245,2021-06-28 22:32:50.185092546,Central,Corporate,Office Supplies,Art,286.88,11,0.3,8.53
ORD-00246,2021-06-29 16:04:33.736868434,West,Corporate,Office Supplies,Art,934.3,5,0.15,101.07
ORD-00247,2021-06-30 09:36:17.288644322,East,Consumer,Office Supplies,Binders,495.0,1,0.0,210.52
ORD-00248,2021-07-01 03:08:00.840420210,East,Home Office,Furniture,Bookcases,175.03,3,0.15,74.76
