Employee ID,Hire Date,Department,Title,Salary,Performance Score,Years Experience,Satisfaction Score,Left Company
EMP-0088,2016-09-03 14:11:18.156312624,Finance,Senior Analyst,111600.0,2.5,14,3.2,True
EMP-0089,2016-09-10 12:59:09.498998000,HR,Manager,122400.0,3.6,24,3.7,False
EMP-0090,2016-09-17 11:47:00.841683368,Finance,Manager,59500.0,4.2,13,3.1,False
EMP-0091,2016-09-24 10:34:52.184368736,Sales,Analyst,93900.0,3.6,8,3.5,False
EMP-0092,2016-10-01 09:22:43.527054112,Finance,Senior Manager,29600.0,3.3,4,4.5,True
EMP-0093,2016-10-08 08:10:34.869739480,Sales,Director,106300.0,2.6,14,3.4,False
EMP-0094,2016-10-15 06:58:26.212424848,Sales,Senior Analyst,112400.0,3.0,7,3.7,False
EMP-0095,2016-10-22 05:46:17.555110224,Finance,Manager,18200.0,4.2,22,2.9,False
EMP-0096,2016-10-29 04:34:08.897795592,HR,Analyst,76500.0,2.5,2,3.4,False
EMP-0097,2016-11-05 03:22:00.240480960,Operations,Director,62600.0,4.9,11,2.7,False
EMP-0098,2016-11-12 02:09:51.583166336,Marketing,Senior Manager,76500.0,3.6,4,4.0,False
EMP-0099,2016-11-19 00:57:42.925851704,Operations,Director,71500.0,2.2,8,4.1,False
EMP-0100,2016-11-25 23:45:34.268537072,Finance,Manager,83900.0,3.9,19,4.0,False
EMP-0101,2016-12-02 22:33:25.611222448,HR,Senior Analyst,109700.0,3.9,2,4.1,False
EMP-0102,2016-12-09 21:21:16.953907816,Sales,Senior Manager,77200.0,3.1,22,4.0,False
EMP-0103,2016-12-16 20:09:08.296593184,Engineering,Senior Analyst,60300.0,4.3,7,2.7,False
EMP-0104,2016-12-23 18:56:59.639278560,Marketing,VP,80100.0,3.0,20,3.2,False
EMP-0105,2016-12-30 17:44:50.981963928,Operations,Director,78700.0,4.0,12,2.2,False
EMP-0106,2017-01-06 16:32:42.324649296,HR,Director,82800.0,3.5,7,3.5,False
EMP-0107,2017-01-13 15:20:33.667334672,Marketing,Analyst,69300.0,3.3,4,3.2,False
EMP-0108,2017-01-20 14:08:25.010020040,Engineering,Senior Manager,94100.0,4.6,24,3.8,False
EMP-0109,2017-01-27 12:56:16.352705408,Engineering,Director,117300.0,4.3,6,5.0,False
EMP-0110,2017-02-03 11:44:07.695390784,Engineering,Manager,53300.0,2.6,4,4.3,False
EMP-0111,2017-02-10 10:31:59.038076152,Operations,VP,96300.0,3.8,8,4.9,True
EMP-0112,2017-02-17 09:19:50.380761520,Finance,Manager,109000.0,5.0,4,4.4,False
EMP-0113,2017-02-24 08:07:41.723446896,Marketing,Senior Analyst,74200.0,4.6,7,3.7,False
EMP-0114,2017-03-03 06:55:33.066132264,Finance,VP,116300.0,2.8,11,3.8,False
EMP-0115,2017-03-10 05:43:24.408817640,Engineering,VP,83500.0,4.8,3,4.4,True
EMP-0116,2017-03-17 04:31:15.751503008,HR,Manager,56900.0,4.2,8,4.0,False
EMP-0117,2017-03-24 03:19:07.094188376,Engineering,Director,53200.0,2.7,21,3.6,False
EMP-0118,2017-03-31 02:06:58.436873752,Finance,Manager,104600.0,3.7,21,4.8,True
EMP-0119,2017-04-07 00:54:49.779559120,Engineering,Senior Manager,102300.0,3.9,13,4.1,False
EMP-0120,2017-04-13 23:42:41.122244488,Engineering,Senior Analyst,124100.0,2.6,18,2.8,False
EMP-0121,2017-04-20 22:30:32.464929856,Finance,VP,101800.0,4.1,12,3.7,False
EMP-0122,2017-04-27 21:18:23.807615232,Finance,Senior Manager,82500.0,5.0,2,3.8,False
EMP-0123,2017-05-04 20:06:15.150300608,HR,Director,97100.0,4.6,3,3.5,False
EMP-0124,2017-05-11 18:54:06.492985968,Finance,Director,86800.0,3.6,0,3.5,False
EMP-0125,2017-05-18 17:41:57.835671344,HR,Manager,76700.0,3.3,21,3.5,False
EMP-0126,2017-05-25 16:29:49.178356720,Sales,Analyst,71300.0,3.8,0,2.6,True
EMP-0127,2017-06-01 15:17:40.521042080,Sales,VP,41900.0,2.7,10,2.4,False
EMP-0128,2017-06-08 14:05:31.863727456,Finance,VP,66400.0,3.1,15,3.3,False
EMP-0129,2017-06-15 12:53:23.206412832,Engineering,Analyst,84500.0,1.9,3,3.5,False
EMP-0130,2017-06-22 11:41:14.549098192,Marketing,Director,17300.0,3.8,6,2.9,False
EMP-0131,2017-06-29 10:29:05.891783568,Engineering,Director,72100.0,3.2,11,3.1,False
EMP-0132,2017-07-06 09:16:57.234468944,Finance,VP,108000.0,4.0,5,3.6,True
EMP-0133,2017-07-13 08:04:48.577154304,HR,Senior Analyst,118600.0,3.6,23,4.5,False
EMP-0134,2017-07-20 06:52:39.919839680,Engineering,VP,71800.0,2.7,19,4.5,True
EMP-0135,2017-07-27 05:40:31.262525056,Sales,Director,70900.0,3.7,8,4.5,False
EMP-0136,2017-08-03 04:28:22.605210416,Operations,Director,67000.0,2.9,7,3.1,False
EMP-0137,2017-08-10 03:16:13.947895792,Finance,Senior Analyst,71000.0,4.8,13,3.6,False
EMP-0138,2017-08-17 02:04:05.290581168,Engineering,Senior Manager,113600.0,2.8,14,4.7,True
EMP-0139,2017-08-24 00:51:56.633266528,Operations,Senior Manager,125700.0,3.1,20,2.6,False
EMP-0140,2017-08-30 23:39:47.975951904,Engineering,Senior Analyst,42800.0,2.7,21,3.5,False
EMP-0141,2017-09-06 22:27:39.318637280,HR,Senior Analyst,64700.0,2.6,4,4.0,True
EMP-0142,2017-09-13 21:15:30.661322640,HR,Senior Manager,38400.0,3.5,14,2.6,False
EMP-0143,2017-09-20 20:03:22.004008016,HR,Senior Manager,84300.0,2.5,5,4.1,True
EMP-0144,2017-09-27 18:51:13.346693392,Operations,Senior Manager,72800.0,3.3,0,4.9,False
EMP-0145,2017-10-04 17:39:04.689378752,Marketing,Senior Manager,94000.0,3.8,19,4.7,False
EMP-0146,2017-10-11 16:26:56.032064128,Operations,VP,101600.0,3.2,8,3.7,False
EMP-0147,2017-10-18 15:14:47.374749504,Finance,VP,98800.0,1.7,3,4.4,True
EMP-0148,2017-10-25 14:02:38.717434864,Finance,Manager,43900.0,4.6,1,2.6,False
EMP-0149,2017-11-01 12:50:30.060120240,Sales,Senior Analyst,84400.0,3.7,5,4.0,False
EMP-0150,2017-11-08 11:38:21.402805616,Sales,Analyst,42600.0,3.7,1,3.6,False
EMP-0151,2017-11-15 10:26:12.745490976,Finance,Manager,128400.0,3.3,2,3.7,False
EMP-0152,2017-11-22 09:14:04.088176352,Engineering,Analyst,76100.0,4.1,6,3.9,True
EMP-0153,2017-11-29 08:01:55.430861728,Finance,Analyst,50800.0,4.3,19,4.1,False
EMP-0154,2017-12-06 06:49:46.773547088,Marketing,Director,71400.0,4.3,16,2.8,False
EMP-0155,2017-12-13 05:37:38.116232464,Sales,Senior Analyst,90200.0,3.7,8,3.1,False
EMP-0156,2017-12-20 04:25:29.458917840,Sales,VP,103300.0,2.4,21,3.6,False
EMP-0157,2017-12-27 03:13:20.801603200,Operations,Manager,117500.0,3.8,8,2.6,False
EMP-0158,2018-01-03 02:01:12.144288576,Sales,Senior Analyst,86600.0,3.7,18,3.9,False
EMP-0159,2018-01-10 00:49:03.486973952,Finance,Senior Manager,76700.0,3.1,4,4.4,False
EMP-0160,2018-01-16 23:36:54.829659328,Sales,Senior Analyst,102100.0,2.9,24,4.8,False
EMP-0161,2018-01-23 22:24:46.172344688,Sales,Analyst,101400.0,3.9,5,3.9,False
EMP-0162,2018-01-30 21:12:37.515030064,Operations,VP,88000.0,3.4,17,5.0,False
EMP-0163,2018-02-06 20:00:28.857715440,Finance,Senior Manager,105200.0,3.2,0,3.8,True
EMP-0164,2018-02-13 18:48:20.200400800,Engineering,Senior Analyst,69700.0,4.8,24,2.9,False
EMP-0165,2018-02-20 17:36:11.543086176,Sales,Senior Analyst,84400.0,4.0,16,3.8,False
EMP-0166,2018-02-27 16:24:02.885771552,Sales,VP,34200.0,3.8,13,3.7,False
EMP-0167,2018-03-06 15:11:54.228456912,Sales,Analyst,119700.0,4.5,14,4.2,False
EMP-0168,2018-03-13 13:59:45.571142288,Marketing,Senior Manager,72700.0,3.8,4,4.0,False
EMP-0169,2018-03-20 12:47:36.913827664,Finance,Analyst,119900.0,2.9,16,3.9,False
EMP-0170,2018-03-27 11:35:28.256513024,Sales,VP,68600.0,3.2,20,4.5,False
EMP-0171,2018-04-03 10:23:19.599198400,Marketing,Senior Analyst,92600.0,4.1,20,3.5,False
EMP-0172,2018-04-10 09:11:10.941883776,Engineering,Manager,86400.0,4.0,22,4.2,True
EMP-0173,2018-04-17 07:59:02.284569136,Engineering,Manager,70000.0,3.9,22,4.0,False
EMP-0174,2018-04-24 06:46:53.627254512,Operations,Director,97000.0,2.6,10,3.9,False
EMP-0175,2018-05-01 05:34:44.969939888,Operations,Manager,116900.0,4.2,9,3.8,False
EMP-0176,2018-05-08 04:22:36.312625248,Operations,VP,129700.0,3.4,16,2.9,False
EMP-0177,2018-05-15 03:10:27.655310624,Marketing,VP,103600.0,4.0,24,3.6,False
EMP-0178,2018-05-22 01:58:18.997996000,Engineering,VP,54700.0,2.8,0,3.7,False
EMP-0179,2018-05-29 00:46:10.340681360,Operations,Senior Manager,49900.0,5.0,4,3.3,True
EMP-0180,2018-06-04 23:34:01.683366736,HR,Director,113500.0,3.7,15,2.8,False
EMP-0181,2018-06-11 22:21:53.026052112,Operations,Senior Manager,60100.0,3.2,6,3.4,False
EMP-0182,2018-06-18 21:09:44.368737472,Engineering,Manager,100400.0,4.0,11,3.5,False
EMP-0183,2018-06-25 19:57:35.711422848,HR,Manager,88300.0,4.2,7,2.9,False
EMP-0184,2018-07-02 18:45:27.054108224,Marketing,Senior Analyst,118000.0,4.0,17,2.9,False
EMP-0185,2018-07-09 17:33:18.396793584,HR,Senior Manager,97700.0,2.7,0,2.3,False
EMP-0186,2018-07-16 16:21:09.739478960,Engineering,Analyst,84200.0,4.4,19,4.0,False
EMP-0187,2018-07-23 15:09:01.082164336,Sales,Senior Analyst,136500.0,3.2,11,4.5,False
EMP-0188,2018-07-30 13:56:52.424849696,HR,Senior Manager,105600.0,3.5,3,3.8,False
EMP-0189,2018-08-06 12:44:43.767535072,Engineering,VP,98900.0,1.7,11,3.5,False
EMP-0190,2018-08-13 11:32:35.110220448,Operations,Director,67900.0,3.1,21,2.8,True
EMP-0191,2018-08-20 10:20:26.452905808,Sales,Senior Manager,56300.0,3.1,0,2.3,True
EMP-0192,2018-08-27 09:08:17.795591184,Marketing,Director,78500.0,3.9,0,3.8,False
EMP-0193,2018-09-03 07:56:09.138276560,Marketing,Director,47500.0,3.1,2,4.2,False
EMP-0194,2018-09-10 06:44:00.480961920,Finance,Manager,77000.0,2.2,20,3.2,False
EMP-0195,2018-09-17 05:31:51.823647296,Marketing,Analyst,105000.0,3.7,11,4.5,False
EMP-0196,2018-09-24 04:19:43.166332672,Finance,Senior Manager,109500.0,3.3,21,3.3,False
EMP-0197,2018-10-01 03:07:34.509018032,Marketing,Analyst,76400.0,2.9,20,4.6,False
EMP-0198,2018-10-08 01:55:25.851703408,Marketing,Director,158400.0,3.6,12,3.3,False
EMP-0199,2018-10-15 00:43:17.194388784,Marketing,Manager,116800.0,2.1,12,1.9,False
EMP-0200,2018-10-21 23:31:08.537074144,Finance,Analyst,84300.0,4.0,20,4.2,False
EMP-0201,2018-10-28 22:18:59.879759520,Operations,Senior Analyst,113500.0,3.4,8,3.2,False
EMP-0202,2018-11-04 21:06:51.222444896,Finance,Director,70500.0,3.3,17,2.7,False
EMP-0203,2018-11-11 19:54:42.565130256,HR,Senior Analyst,91300.0,4.3,0,4.1,False
EMP-0204,2018-11-18 18:42:33.907815632,Engineering,VP,76000.0,3.1,5,3.2,False
EMP-0205,2018-11-25 17:30:25.250501008,Engineering,Analyst,54700.0,3.7,24,2.8,False
EMP-0206,2018-12-02 16:18:16.593186368,Operations,Analyst,98300.0,3.4,22,4.7,False
EMP-0207,2018-12-09 15:06:07.935871744,Engineering,Analyst,84900.0,5.0,23,3.7,False
EMP-0208,2018-12-16 13:53:59.278557120,Marketing,VP,86700.0,3.9,4,2.8,False
EMP-0209,2018-12-23 12:41:50.621242480,Operations,Senior Manager,84300.0,2.6,3,3.5,False
EMP-0210,2018-12-30 11:29:41.963927856,Engineering,Director,62500.0,4.9,5,5.0,False
EMP-0211,2019-01-06 10:17:33.306613232,Finance,Director,124700.0,4.3,2,3.9,False
EMP-0212,2019-01-13 09:05:24.649298592,HR,Director,91200.0,3.5,16,3.4,False
EMP-0213,2019-01-20 07:53:15.991983968,Sales,Senior Manager,78300.0,3.2,10,4.2,False
EMP-0214,2019-01-27 06:41:07.334669344,HR,Analyst,52300.0,2.4,3,3.5,False
EMP-0215,2019-02-03 05:28:58.677354704,Engineering,Analyst,120100.0,3.8,24,3.4,False
EMP-0216,2019-02-10 04:16:50.020040080,Operations,VP,107900.0,3.0,19,3.3,False
EMP-0217,2019-02-17 03:04:41.362725456,Engineering,Senior Analyst,85000.0,2.8,0,4.4,True
EMP-0218,2019-02-24 01:52:32.705410816,Finance,Senior Manager,52900.0,4.1,3,3.9,True
EMP-0219,2019-03-03 00:40:24.048096192,HR,Manager,126500.0,4.7,22,4.8,False
EMP-0220,2019-03-09 23:28:15.390781568,Finance,Senior Manager,75900.0,3.1,2,4.0,False
EMP-0221,2019-03-16 22:16:06.733466928,Finance,VP,68200.0,4.1,9,4.9,False
EMP-0222,2019-03-23 21:03:58.076152304,Sales,Senior Analyst,83800.0,3.7,21,4.3,False
EMP-0223,2019-03-30 19:51:49.418837680,Finance,Senior Analyst,94400.0,3.8,0,3.6,False
EMP-0224,2019-04-06 18:39:40.761523040,Finance,Senior Analyst,80800.0,2.8,3,3.7,False
EMP-0225,2019-04-13 17:27:32.104208416,Sales,Analyst,300.0,3.3,18,5.0,False
EMP-0226,2019-04-20 16:15:23.446893792,Marketing,Manager,91200.0,2.6,0,4.7,False
EMP-0227,2019-04-27 15:03:14.789579168,Marketing,Senior Analyst,108100.0,2.5,15,4.9,True
EMP-0228,2019-05-04 13:51:06.132264528,Operations,Director,62700.0,3.9,18,3.1,False
EMP-0229,2019-05-11 12:38:57.474949904,Sales,Analyst,124000.0,3.1,19,2.5,True
EMP-0230,2019-05-18 11:26:48.817635280,Operations,Manager,106900.0,2.8,20,3.2,False
EMP-0231,2019-05-25 10:14:40.160320640,Operations,Director,96700.0,2.5,21,3.9,False
EMP-0232,2019-06-01 09:02:31.503006016,Finance,Manager,59600.0,2.3,17,3.3,False
EMP-0233,2019-06-08 07:50:22.845691392,Operations,VP,92000.0,1.9,1,3.8,False
EMP-0234,2019-06-15 06:38:14.188376752,Engineering,Manager,93900.0,3.6,5,3.5,False
EMP-0235,2019-06-22 05:26:05.531062128,HR,Director,83000.0,1.4,20,2.6,False
EMP-0236,2019-06-29 04:13:56.873747504,Engineering,Senior Manager,107300.0,3.9,0,4.1,True
EMP-0237,2019-07-06 03:01:48.216432864,Engineering,Manager,76000.0,3.9,18,3.8,False
EMP-0238,2019-07-13 01:49:39.559118240,Finance,Senior Manager,78200.0,3.4,4,4.7,False
EMP-0239,2019-07-20 00:37:30.901803616,HR,Manager,68300.0,3.6,1,3.9,True
EMP-0240,2019-07-26 23:25:22.244488976,Operations,VP,73700.0,3.3,0,4.3,False
EMP-0241,2019-08-02 22:13:13.587174336,HR,Director,81300.0,3.7,15,3.2,False
EMP-0242,2019-08-09 21:01:04.929859712,Operations,Manager,80300.0,3.7,24,4.0,False
EMP-0243,2019-08-16 19:48:56.272545088,Marketing,Senior Analyst,79200.0,4.5,20,4.4,False
EMP-0244,2019-08-23 18:36:47.615230464,Sales,VP,108100.0,4.7,1,4.2,False
EMP-0245,2019-08-30 17:24:38.957915840,Finance,Senior Analyst,122600.0,4.7,3,3.6,True
EMP-0246,2019-09-06 16:12:30.300601216,Operations,VP,53000.0,2.9,2,4.0,False
EMP-0247,2019-09-13 15:00:21.643286560,Operations,VP,122000.0,4.1,22,4.2,False
EMP-0248,2019-09-20 13:48:12.985971936,HR,Manager,101900.0,3.9,16,4.6,True
EMP-0249,2019-09-27 12:36:04.328657312,Finance,Director,62700.0,3.0,14,3.4,False
EMP-0250,2019-10-04 11:23:55.671342688,Operations,Director,76800.0,2.8,9,3.0,False
EMP-0251,2019-10-11 10:11:47.014028064,Marketing,Analyst,92100.0,3.2,11,3.2,True
EMP-0252,2019-10-18 08:59:38.356713440,Engineering,Director,43600.0,2.7,11,3.9,False
EMP-0253,2019-10-25 07:47:29.699398784,Operations,Senior Manager,82800.0,2.4,19,3.8,False
EMP-0254,2019-11-01 06:35:21.042084160,HR,Manager,98100.0,3.9,6,4.2,True
EMP-0255,2019-11-08 05:23:12.384769536,Marketing,Senior Analyst,66400.0,3.5,9,4.4,False
EMP-0256,2019-11-15 04:11:03.727454912,Finance,Director,48000.0,3.5,4,2.5,False
EMP-0257,2019-11-22 02:58:55.070140288,Operations,Senior Analyst,90000.0,4.2,19,3.5,False
EMP-0258,2019-11-29 01:46:46.412825664,Marketing,Analyst,140200.0,3.3,19,3.9,False
EMP-0259,2019-12-06 00:34:37.755511040,Marketing,Manager,67200.0,4.2,10,4.6,False
EMP-0260,2019-12-12 23:22:29.098196384,Marketing,Director,67800.0,2.9,1,3.8,False
EMP-0261,2019-12-19 22:10:20.440881760,Marketing,Senior Analyst,80000.0,2.9,23,4.8,True
EMP-0262,2019-12-26 20:58:11.783567136,Marketing,VP,124200.0,3.5,15,4.2,False
EMP-0263,2020-01-02 19:46:03.126252512,Marketing,Director,43700.0,5.0,11,4.1,False
EMP-0264,2020-01-09 18:33:54.468937888,Sales,Analyst,104200.0,4.5,15,3.7,False
EMP-0265,2020-01-16 17:21:45.811623264,Finance,VP,73200.0,4.4,3,3.8,False
EMP-0266,2020-01-23 16:09:37.154308608,Engineering,Senior Analyst,75400.0,2.4,1,4.0,True
EMP-0267,2020-01-30 14:57:28.496993984,Finance,Senior Analyst,59700.0,3.6,24,3.7,False
EMP-0268,2020-02-06 13:45:19.839679360,HR,Manager,78800.0,4.2,9,4.6,False
EMP-0269,2020-02-13 12:33:11.182364736,HR,Manager,60500.0,5.0,12,4.4,True
EMP-0270,2020-02-20 11:21:02.525050112,Finance,Senior Analyst,71400.0,2.2,22,4.6,False
EMP-0271,2020-02-27 10:08:53.867735488,Marketing,VP,23400.0,4.1,18,3.1,False
EMP-0272,2020-03-05 08:56:45.210420832,Sales,Manager,41700.0,4.4,14,3.0,False
EMP-0273,2020-03-12 07:44:36.553106208,Engineering,Senior Analyst,93400.0,3.9,22,4.1,False
EMP-0274,2020-03-19 06:32:27.895791584,Operations,VP,116600.0,2.4,0,3.7,True
EMP-0275,2020-03-26 05:20:19.238476960,Operations,Senior Manager,165700.0,3.7,16,4.0,False
EMP-0276,2020-04-02 04:08:10.581162336,Marketing,Director,108100.0,3.8,19,3.0,False
